headline,field,region,year,sentiment
'Mahinda Rajapaksa Global Aquaculture Fund' endorsed,Aquaculture,Sri Lanka,2014,1
"WAUCHOPE company Aquasonic Pty Ltd, the largest aquaculture",Aquaculture,Australia,2014,0
"NEW POLICY TO BE BROUGHT FOR FAST GROWTH OF FISHERIES SECTOR AND FISHERMEN WELFARE, AGRICULTURE MINISTER SINGH INAUGURATES 33RD SESSION OF ASIA PACIFIC FISHERIES COMMISSION",Aquaculture,India,2014,0
New aquaculture centre aims to boost industry,Aquaculture,Scotland,2014,1
Comox event will also aid North Island College,Aquaculture,Canada,2014,0
"Back fish farming, urges sector expert",Aquaculture,Australia,2014,1
Farmed fish must double,Aquaculture,Australia,2014,1
EP leads aquaculture boom,Aquaculture,Australia,2014,1
Computer planning for aquaculture growth,Aquaculture,Australia,2014,1
Seafood farming valued at $1.3bn,Aquaculture,Australia,2014,1
RGCA'S LAB IS INDIA'S 1ST NABL ACCREDITED AQUACULTURE PATHOLOGY LAB,Aquaculture,India,2014,0
MPEDA aquaculture path lab gets NABL accreditation,Aquaculture,India,2014,1
Henties Bay to Harnass Mariculture and Aquaculture,Aquaculture,Namibia,2014,1
Senura Aqua invests US$ 2m for stage II,Aquaculture,Sri Lanka,2014,0
Aquaculture online is meeting critical needs,Aquaculture,Wales,2014,1
A new act can't fix aquaculture,Aquaculture,Canada,2014,-1
"LIFE-AQUASEF - ECO-EFFICIENT TECHNOLOGIES DEVELOPMENT FOR ENVIRONMENTAL IMPROVEMENT OF AQUACULTURE, AQUASEF",Aquaculture,Spain,2014,1
Aquarium one of the world's best,Aquaculture,Australia,2014,0
Canada needs to lead in aquaculture,Aquaculture,Canada,2014,1
Aquaculture study may miss small fry,Aquaculture,Australia,2014,-1
Research and Markets: Aquaculture Market Report Global Forecast & Opportunities 2013 - 2019,Aquaculture,United Kingdom,2014,0
World showcase for our aquaculture,Aquaculture,Australia,2014,1
Agri sector on board to grant MFN status to India: Bosan,Aquaculture,Pakistan,2014,0
"Improving community-based aquaculture in Fiji, Kiribati, Samoa and Vanuatu",Aquaculture,Samoa,2014,1
Lack of latest tech hurting agriculture productivity: Bosan,Aquaculture,Pakistan,2014,0
Industrial wastage threat to aquaculture,Aquaculture,Pakistan,2014,-1
Fish population being threatened due to industrial effluents: Punjab governor,Aquaculture,Pakistan,2014,-1
Aquaculture may help ward off food insecurity,Aquaculture,Pakistan,2014,1
'State Yet to Exploit Aquaculture Prospect',Aquaculture,India,2014,1
Senators visit Tofino's aquaculture facility,Aquaculture,Canada,2014,0
Aquaculture vital for meeting growing demand for fish,Aquaculture,India,2014,1
Aquaculture park goes to public consultation,Aquaculture,Australia,2014,0
CCC workshop on aquaculture development,Aquaculture,Sri Lanka,2014,0
Aquaculture workshop,Aquaculture,Australia,2014,0
$2000 up for grabs for young aquaculture leaders,Aquaculture,Australia,2014,0
Research and Markets: India Commercial Aquafeed Market Outlook 2018 Provides Market Forecast of 2014 & 2018 for Aquaculture Production by the Type of Finfish,Aquaculture,India,2014,0
Acquaculture Fish Harvest Low,Aquaculture,Namibia,2014,-1
Delaware: REMINDER: DNREC's Division of Fish and Wildlife to hold second public workshop Feb. 26 on Inland Bays shellfish aquaculture regulations,Aquaculture,USA,2014,0
"Aquaculture interests run deep and wide; Start-up costs are major concern; meeting set Wednesday, Feb. 26",Aquaculture,USA,2014,1
BOI approves aquaculture project in Chilaw,Aquaculture,Sri Lanka,2014,1
Fisheries minister offers up $54M; Cash will be used to continue research and improve regulatory management in the industry,Aquaculture,Canada,2014,1
True North Salmon aims for fourth star,Aquaculture,Canada,2014,1
Community-based Climate Resilient Fisheries and Aquaculture Development in Bangladesh,Aquaculture,Bangladesh,2014,1
Coveney admits frustrations over aquaculture,Aquaculture,Ireland,2014,-1
Federal government supports B.C. salmon; Aquaculture moratorium continues; investments made in fishery: minister,Aquaculture,Canada,2014,1
"PHL to export milkfish, other aquaculture products to UAE",Aquaculture,Philippines,2014,1
Farms to Produce 60 Percent of Global Food Fish By 2030,Aquaculture,Lagos,2014,1
Investors eye Gulf aquaculture boom,Aquaculture,United Arab Emirates,2014,1
"Oman, Saudi Arabia ride new wave of investment in aquaculture industry",Aquaculture,Oman,2014,1
WAAPP - Nigeria Hosts Aquaculture Experts,Aquaculture,Nigeria,2014,0
Asia to meet global seafood demand,Aquaculture,Pakistan,2014,1
DNREC sets workshop on Inland Bays shellfish aquaculture regs for Jan. 30,Aquaculture,USA,2014,0
Washington DNREC's Division of Fish and Wildlife to hold public workshop January 30 on Inland Bays shellfish aquaculture regulations,Aquaculture,USA,2014,0
"Research and Markets: Global Aquaculture Market Report 2013 - 2019: Carp, Molluscs, Crustaceans, Salmon, Trout and Other Fishes",Aquaculture,India,2014,0
"Republic Poly starts research centre for aquaculture; Facility will study ways to increase food fish production, boost manpower training",Aquaculture,Sigapore,2014,1
Aquaculture regs to be issued in July; Delaware is last Atlantic Coast state to establish fish farming rules,Aquaculture,USA,2014,0
Don't believe aquaculture hype,Aquaculture,Canada,2014,0
Canada needs a national aquaculture strategy,Aquaculture,Canada,2013,-1
Workshop on aquaculture development,Aquaculture,Sri Lanka,2013,1
Aaa organises workshop on aquaculture development,Aquaculture,Sri Lanka,2013,1
Professor to study green aquaculture; Oceanographer Jon Grant has been awarded $1.6-million to investigate the environmental effects of a booming Maritime business,Aquaculture,Canada,2013,1
Netting $800K for sustainable fish farm research,Aquaculture,Canada,2013,1
Hawaii: Commercial aquaculture could increase,Aquaculture,USA,2013,1
Cooke Aquaculture invests in research,Aquaculture,Canada,2013,1
Local fisheries on world stage,Aquaculture,Australia,2013,0
Alltech Announces New Technologies At APA13 To Support Aquaculture Producers In Asia-Pacific For Immediate Release,Aquaculture,China,2013,1
Aquaculture Association Decries Importation of Fish,Aquaculture,Ghana,2013,0
SA's big aquaculture catch,Aquaculture,Australia,2013,1
Washington: Aquaculture market is expected to reach $195 billion by 2019,Aquaculture,USA,2013,1
Tuna leads aquaculture growth,Aquaculture,Australia,2013,1
Legal war guts aquaculture plan,Aquaculture,New Zealand,2013,-1
Panel focuses on sustainable aquaculture,Aquaculture,USA,2013,1
Early taste of aquaculture,Aquaculture,New Zealand,2013,1
"Coordinated Aquaculture Needed to Meet Global Demand, Says FAO",Aquaculture,Lagos,2013,1
Fish farmer hits cutbacks,Aquaculture,Australia,2013,0
Embattled seafood farmers will lobby for reform,Aquaculture,Australia,2013,0
"Governor re-appoints professor, alumnus to state advisory board",Aquaculture,USA,2013,0
Global fish output eclipses red meat; Open-ocean farm growth predicted,Aquaculture,South Africa,2013,1
Fish farming output eclipses beef,Aquaculture,South Africa,2013,1
Scholarships to boost fish farming,Aquaculture,New Zealand,2013,1
Oyster harvesting to return to Inland Bays; Bill allows leasing of waters for shellfish,Aquaculture,USA,2013,1
Delaware: Governor Signs Law Bringing Economic and Environmental Benefits of Aquaculture to Delaware,Aquaculture,USA,2013,1
Aquaculture can reduce food insecurity in Pakistan,Aquaculture,Pakistan,2013,1
BMMP delegation for Norway Aqua-nor int'l exhibition,Aquaculture,Sri Lanka,2013,0
Aquaculture centre gives teens new angles to explore,Aquaculture,Australia,2013,1
Economic Indicators; Seaweeds succumb to 'ice ice' disease,Aquaculture,Philippines,2013,-1
"Wakatu, Cawthron sign pact",Aquaculture,New Zealand,2013,0
"Wary of government? Yes, but we need some level of trust",Aquaculture,USA,2013,1
AQUACULTURE : SECTOR COMMITS TO SUSTAINABLE DEVELOPMENT,Aquaculture,United Kingdom,2013,1
Fish farm rates target,Aquaculture,Australia,2013,1
JEFI inks three MoUs on aquaculture projects,Aquaculture,Malaysia,2013,0
Fish farms' chips roll in $7m for Macquarie Harbour,Aquaculture,Australia,2013,1
"Ministry of Agriculture: MOA, FAO Jointly Hold a Training Course on Aqua-Feed and Aqua-Seed",Aquaculture,China,2013,0
Sri Lanka in aquaculture drive with Viet Namnam,Aquaculture,Viet Nam,2013,1
FISHERIES : OPEN METHOD OF COORDINATION TO BOOST AQUACULTURE,Aquaculture,United Kingdom,2013,1
Aquaculture - Good Investment Opportunity for the Nation,Aquaculture,Nigeria,2013,1
Sharing aquaculture ideas,Aquaculture,New Zealand,2013,1
New zone to benefit aquaculture,Aquaculture,Australia,2013,1
Youths Should Try Aquaculture [opinion],Aquaculture,Zambia,2013,1
Food security fund to transform sector. Drive to raise Dh550m for aquaculture,Aquaculture,Oman,2013,1
Cooke Aquaculture purchases stake in Chilean salmon farm; Markets Cooke Aquaculture purchased a 54 per cent stake in the South American company,Aquaculture,Canada,2013,1
"Aquaculture project 'important first step, but more is needed'",Aquaculture,South Africa,2013,1
SA moves to nurture aquaculture sector,Aquaculture,South Africa,2013,1
Registration of freshwater aqua farms made compulsory,Aquaculture,India,2013,0
Cast your net to earn a living; - Tribal students undergo training at institute of aquaculture,Aquaculture,India,2013,1
Aquaculture and wild fisheries must aim for sustainable co-existence,Aquaculture,Scotland,2013,1
Scots Salmon farmers hit out at aquaculture guide,Aquaculture,Scotland,2013,-1
"Markey eyes fishing, opposes NOAA aquaculture",Aquaculture,USA,2013,-1
OriginOil Partners with Aquaculture Producer to Study Impact of Its Technology in Transforming $100 Billion Global Market,Aquaculture,India,2013,1
Open day for aquaculture,Aquaculture,New Zealand,2013,1
'Thought-provoking' study sees big potential in farmed trout,Aquaculture,New Zealand,2013,1
BRIEF: Aquaculture conference planned,Aquaculture,USA,2013,0
Quarantined salmon headed to New Brunswick for processing,Aquaculture,Canada,2013,-1
"Hungary : Improvement of research and innovation potential of Research Institute for Fisheries, Aquaculture and Irrigation (HAKI) to promote technological development in Central and Eastern European aquaculture",Aquaculture,United Kingdom,2013,0
"Aquaculture, culinary arts students feed each other's projects at Cape May Tech",Aquaculture,USA,2013,0
Anti-aquaculture body 'aiding fish farm growth',Aquaculture,United Kingdom,2013,-1
Fewer workers in aquaculture,Aquaculture,Australia,2013,-1
ENVIRONMENT : RECONCILING AQUACULTURE AND NATURE PROTECTION,Aquaculture,United Kingdom,2012,1
"Make sure of demand, aquaculture project warned",Aquaculture,South Africa,2012,-1
Video highlights benefits of soy use in fish feed; Consumers demand more fish; industry tries to increase supply,Aquaculture,USA,2012,1
Scientists question open-net farming,Aquaculture,Canada,2012,-1
Waterworld,Aquaculture,India,2012,0
Salmon farming's foul record,Aquaculture,Canada,2012,-1
Farmed fish feed high on food chain,Aquaculture,Canada,2012,-1
Whyalla City Council will aim to protect and enhance,Aquaculture,Australia,2012,0
Carter backs $1b aquaculture target,Aquaculture,New Zealand,2012,1
Aquaculture research plans on view,Aquaculture,Wales,2012,0
"Hughes-Gibb appoints aquaculture insurance broking, risk management division head",Aquaculture,United Kingdom,2012,0
'Farmers lack drive to earn money',Aquaculture,India,2012,-1
Nepal sees potential in aquaponics,Aquaculture,Nepal,2012,1
Global Initiative Advocates Aquaculture to Fight Hunger,Aquaculture,Lagoa,2012,1
Aquaculture workshop slated Oct. 4 at UAPB,Aquaculture,USA,2012,0
Council wants shark risk looked at,Aquaculture,Australia,2012,-1
Governor signs Chesbro aquaculture bill,Aquaculture,USA,2012,0
Catch 22,Aquaculture,Australia,2012,-1
Meet to discuss aquaculture trends and future,Aquaculture,India,2012,0
20-year plan to boost aquaculture,Aquaculture,Oman,2012,1
Seminar on Investment Opportunities in Aquaculture Field,Aquaculture,Oman,2012,1
NEPAD Experts Advice Govt on Fisheries,Aquaculture,Sierra Leone,2012,0
Pact to boost fish production,Aquaculture,Malaysia,2012,1
Chesbro aquaculture bill headed to state governor,Aquaculture,USA,2012,0
Industry growing on back of tuna,Aquaculture,Australia,2012,-1
Cooke Aquaculture CEO goes undercover; Undercover Boss,Aquaculture,Canada,2012,-1
Gujarat can feed fish food to entire country,Aquaculture,India,2012,1
Rich Products' Texas manufacturing Plant Receives 'Best Aquaculture Practices' Certification,Aquaculture,India,2012,1
Leases to impact wildlife,Aquaculture,Australia,2012,-1
Target for aquaculture industry,Aquaculture,Malaysia,2012,0
Fish farmers into aquaculture,Aquaculture,Australia,2012,0
National aquaculture group not supporting certification process,Aquaculture,Canada,2012,-1
Farmed fish output to increase 33pc; Farmed fish,Aquaculture,United Kingdom,2012,0
"Next time, make sure it's Aussie barramundi; Rob Broadfield  Food Editor ",Aquaculture,Australia,2012,0
Kiwi student following tradition in Australia,Aquaculture,New Zealand,2012,0
Barra on course,Aquaculture,Australia,2012,0
Play a role in aquaculture future,Aquaculture,Australia,2012,1
State-owned company for aquaculture on cards,Aquaculture,Oman,2012,0
Plan set for Fisheries Bill,Aquaculture,Scotland,2012,0
Aquaculture the key,Aquaculture,Australia,2012,1
Agriculture and Fisheries Minister Meets Korean Officials and Businessmen,Aquaculture,Oman,2012,0
Oyster industry given funding boost,Aquaculture,New Zealand,2012,1
Viet Namnam helps fish farming,Aquaculture,Australia,2012,1
"Aquaculture salmon healthy, disease-free",Aquaculture,Canada,2012,1
Aquaculture potential of BTC area underlined,Aquaculture,India,2012,1
"Training on aquaculture, sustainable farming",Aquaculture,India,2012,1
Sea cages for trial fish farm,Aquaculture,Australia,2012,1
Salmon farm considered at former Navy site in Corea,Aquaculture,USA,2012,1
Threat to mangrove swamps,Aquaculture,Malaysia,2012,-1
Industry to ?adopt? beaches,Aquaculture,Australia,2012,0
'Freshwater aquaculture vital for food security',Aquaculture,India,2012,1
Tutor lifts NMIT's expertise,Aquaculture,New Zealand,2012,0
Expertise for state's aquaculture,Aquaculture,Australia,2012,0
Aquaculture sector faces 'pressures': report; ? APEC outlook comes just as N.B.-based company deals with fish farm virus,Aquaculture,Canada,2012,-1
More debris washed ashore,Aquaculture,Australia,2012,-1
AfDB Supports Largest Tilapia Fish Farm,Aquaculture,Harare,2012,1
China : Demonstration Project on Promotion of the Ecological Aquaculture Mode to Reduce Land-based Pollution (CPR/SGP/OP5/CORE/IW/11/01) Project,Aquaculture,Taiwan,2012,1
China : Demonstration of Eco-restoration and Eco-aquaculture in Mangrove Forest in the Beibu Gulf of Guangxi (CPR/SGP/OP5/CORE/IW/11/03) Project,Aquaculture,China,2012,1
U of G aquaculture researchers receive $1 million from Ottawa,Aquaculture,Canada,2012,1
Aquaculture oysters not free,Aquaculture,Australia,2012,-1
BRIEF: Registration underway for 2012 aquaculture development event,Aquaculture,USA,2012,0
Clean Seas Tuna Limited has announced the,Aquaculture,Australia,2012,0
"'Disability Cannot Be an Obstacle to Productivity', Says an Aquaculture Operator",Aquaculture,Gambia,2012,0
N.S. group concerned that Kelly Cove Salmon wants to set up shop there,Aquaculture,Canada,2012,-1
Belgium: Supporting governance and multi-stakeholder participation in aquaculture research and innovation (AQUAINNOVA),Aquaculture,Belgium,2012,1
N.J. report sees great potential in aquaculture,Aquaculture,USA,2012,1
"Italy: Aquaculture for Food Security, Poverty Alleviation and Nutrition (AFSPAN)",Aquaculture,Italy,2012,1
KOICA helps aquaculture development,Aquaculture,Sri Lanka,2011,1
Belgium: Supporting governance and multi-stakeholder participation in aquaculture research and innovation (AQUAINNOVA),Aquaculture,Belgium,2012,1
Spain: Maximizing marine omega-3 retention in farmed fish: sustainable production of healthy food. (OMEGA3MAX),Aquaculture,Spain,2011,1
Denmark: Multi-sensor automated water quality monitoring and control system for continuous use in recirculation aquaculture systems (AQUALITY),Aquaculture,Denmark,2011,0
Incentives to attract aquaculture farmers in Oman,Aquaculture,Oman,2011,1
International Conference on Aquaculture Concludes,Aquaculture,Oman,2011,0
"Aquaculture meet to boost tech input, investments in Oman",Aquaculture,Oman,2011,1
International Conference on Aquaculture Kicks off,Aquaculture,Oman,2011,0
Centre opened,Aquaculture,Australia,2011,0
Denmark: Multi-sensor automated water quality monitoring and control system for continuous use in recirculation aquaculture systems,Aquaculture,United Kingdom,2011,0
Research unit set to boost aquaculture,Aquaculture,Australia,2011,1
Egypt: Fisheries and aquaculture-Oriented Research Capacity,Aquaculture,Egypt,2011,0
Aqua zone group reps questioned,Aquaculture,Australia,2011,-1
Aquaculture to help meet the global fish demand?,Aquaculture,India,2011,1
Malaysian Aquaculture Project Impresses Deputy Minister Nguvauva,Aquaculture,Malaysia,2011,1
Aquaculture boss quits,Aquaculture,New Zealand,2011,-1
Aquaculture opponents lambasted by minister,Aquaculture,New Zealand,2011,0
A pearler of a plan released,Aquaculture,Australia,2011,0
Tumby won?t be at aqua zone meeting,Aquaculture,Australia,2011,0
Final submissions see clash of interests,Aquaculture,Canada,2011,-1
New site worries landowners,Aquaculture,Australia,2011,-1
In March 2011 PIRSA Fisheries and Aquaculture,Aquaculture,Australia,2011,0
Council questions finfish zone impact,Aquaculture,Australia,2011,-1
Aquaculture zone proposal,Aquaculture,Australia,2011,0
Sustainable aquaculture?,Aquaculture,Wales,2011,0
Government Promotes Aquaculture,Aquaculture,Mozambique,2011,1
Is Aquaculture the Missing Link? [analysis],Aquaculture,Harare,2011,1
Key witnesses draw crowd to spirited panel talks on salmon,Aquaculture,Canada,2011,0
Aquaculture gets lift from law change,Aquaculture,New Zealand,2011,1
Aquaculture law heralds expansion,Aquaculture,New Zealand,2011,1
Marine 'roadblock' removed,Aquaculture,New Zealand,2011,1
Aquaculture bill likely to pass today,Aquaculture,New Zealand,2011,1
AQUA 2000 : International conference on responsible aquaculture in the new millennium,Aquaculture,Belgium,2011,1
Advanced workshop: sea urchin aquaculture,Aquaculture,Japan,2011,0
Guatemala: Aquaculture and Farm Product Processing Technology Improvement Project Aquaculture,Aquaculture,Taiwan,2011,1
Aquaculture revives fishery; Newfoundland hails an industry that is putting social services recipients back into the workforce,Aquaculture,Canada,2011,1
Rice-fish culture,Aquaculture,Sri Lanka,2011,0
Marine stocks,Aquaculture,Sri Lanka,2011,0
Aquaculture to propel development,Aquaculture,Sri Lanka,2011,1
Protect region's aquaculture,Aquaculture,Sri Lanka,2011,1
NAQDA,Aquaculture,Sri Lanka,2011,0
Major species groups used in aquaculture,Aquaculture,Sri Lanka,2011,0
President to inaugurate 5th FAO confab,Aquaculture,Sri Lanka,2011,0
Development activities,Aquaculture,Sri Lanka,2011,0
Aquaculture production,Aquaculture,Sri Lanka,2011,0
Importance,Aquaculture,Sri Lanka,2011,0
"Over 12,000 reservoirs to become fresh water fish farming tanks",Aquaculture,Sri Lanka,2011,1
Microbes as positive actors for more sustainable aquaculture,Aquaculture,Belgium,2011,1
ASEM Aquaculture Platform,Aquaculture,Belgium,2011,0
AQUAculture infrastructures for EXCELLence in European Fish research,Aquaculture,United Kingdom,2011,1
Papua New Guinea New Guinea: Increasing production from inland aquaculture in Papua New Guinea New Guinea for food and income security,Aquaculture,Papua New Guinea,2011,1
Imperial man still has hopes for aquaculture,Aquaculture,USA,2011,1
N.S. group tries to halt aquaculture expansion; Aquaculture Coalition says lawsuit a bid to force Nova Scotia government to tighten up controls on salmon farming,Aquaculture,Canada,2011,-1
Codes of conduct crafted for shrimp industry,Aquaculture,Bangladesh,2011,0
Business buzz,Aquaculture,Brazil,2011,0
"Led by China, fish farms soaring: study",Aquaculture,China,2011,1
Coalition protests Bay of Fundy aquaculture venture,Aquaculture,Canada,2011,-1
Commerce eyes push to beef up aquaculture,Aquaculture,USA,2011,1
"Embrace Aquaculture, French Envoy Advises",Aquaculture,Kenya,2011,1
Leaders in fish farming crowned,Aquaculture,Scotland,2011,1
SEA FOOD EXPORTS TO SCALE NEW HEIGHTS WITH REMARKABLE BREAKTHROUGH FOR ENSURING SUPPLY OF HIGH QUALITY ALL MALE SCAMPI SEEDS,Aquaculture,India,2011,1
Belgium: Microbes as positive actors for more sustainable aquaculture,Aquaculture,Belgium,2011,1
Aquaculture spurred marine production growth - BFAR,Aquaculture,Philippines,2011,1
Aquaculture projects revived,Aquaculture,Unknown,2011,1
Aquaculture in demand,Aquaculture,Wales,2011,1
India has bright future in aquaculture: Expert,Aquaculture,India,2011,1
Aquaculture contributes to half of marine output,Aquaculture,Philippines,2011,1
